username,black,darkGrey,deepGrey,mediumGrey,lightGrey,white,beige,peach,brown,chocolate,rust,orange,yellow,pastelYellow,lime,green,darkGreen,forest,darkTeal,lightTeal,aqua,azure,blue,navy,purple,mauve,magenta,pink,watermelon,red,rose,maroon,darkChocolate,darkPurple
ubermeisters@lemmy.world,217,70,139,142,169,204,87,86,98,99,119,130,132,137,144,183,175,145,135,144,153,162,162,151,112,120,104,114,150,848,206,149,0,0
guantousam@lemmy.world,143,450,56,118,89,17,7,33,102,85,12,96,91,101,76,50,51,71,63,159,251,76,337,513,179,180,106,348,77,100,73,36,0,0
ShadowGlider@lemmy.world,331,212,23,92,274,117,3,9,3,101,46,120,199,101,21,12,50,57,81,129,297,282,102,36,291,203,16,556,55,40,24,15,0,0
DragonM97HD@lemmy.world,474,66,177,113,42,2,13,57,149,62,25,130,71,96,20,73,4,3,0,1,77,126,99,1093,106,58,14,116,28,51,225,33,0,0
Lokloy@lemmy.world,310,327,163,157,227,100,14,20,56,97,70,77,77,27,43,83,14,76,87,112,147,93,228,155,225,167,11,92,90,109,89,26,0,0
DJSoundwav3@lemmy.world,306,316,124,334,435,81,0,0,0,0,4,3,161,5,0,2,5,4,5,0,125,52,109,41,217,11,36,72,18,435,36,3,0,0
peter_pangolin@toast.ooo,501,220,0,1,21,58,34,179,47,53,34,22,126,23,1,0,7,0,2,0,550,154,389,38,63,7,0,5,49,79,205,3,0,0
Bottom@lemm.ee,216,0,0,41,1,19,30,16,6,68,136,103,221,11,0,59,35,0,0,0,2,1083,61,12,155,19,1,461,0,44,0,0,0,0
NanoPi@lemmy.world,66,180,47,76,98,20,1,3,27,49,15,87,43,47,75,63,19,95,55,134,178,257,225,125,157,266,14,169,67,110,4,11,0,0
akq@lemm.ee,353,426,352,345,225,44,39,45,169,73,1,1,16,0,1,2,2,23,4,2,12,109,108,6,27,1,188,64,1,20,29,39,0,0
Aenigma@lemmy.world,549,373,199,153,60,69,0,0,1,0,36,70,0,3,0,0,2,0,5,25,111,4,167,34,151,130,16,192,0,152,132,0,0,0
Lilou41@lemmy.world,239,103,22,94,113,28,12,10,45,35,189,328,187,136,0,123,20,6,26,14,91,122,47,41,118,116,18,4,47,159,66,54,0,0
