timestamp,user_count
July 18 2026 0:6:29,78
July 18 2026 0:19:36,83
July 18 2026 0:25:20,84
July 18 2026 0:40:1,92
July 18 2026 0:50:2,97
July 18 2026 1:0:2,98
July 18 2026 1:10:1,96
July 18 2026 1:20:2,99
July 18 2026 1:30:2,97
July 18 2026 1:40:2,98
July 18 2026 1:50:1,95
July 18 2026 2:0:2,95
July 18 2026 2:10:1,98
July 18 2026 2:20:2,101
July 18 2026 2:30:1,101
July 18 2026 2:40:2,103
July 18 2026 2:50:2,106
July 18 2026 3:0:2,108
July 18 2026 3:10:2,102
July 18 2026 3:20:2,110
July 18 2026 3:30:2,111
July 18 2026 3:40:2,111
July 18 2026 3:50:2,120
July 18 2026 4:0:1,116
July 18 2026 4:10:1,112
July 18 2026 4:20:2,111
July 18 2026 4:30:2,102
